label;label;value
aback;Surprise_GALC;1.0
abacus;Trust_NRC;1.0
abandon;Negativ_GI;1.0
abandon;Ngtv_GI;1.0
abandon;Weak_GI;1.0
abandon;Fail_GI;1.0
abandon;Iav_GI;1.0
abandon;Affloss_Lasswell;1.0
abandon;Afftot_Lasswell;1.0
abandon;Fear_NRC;1.0
abandon;Negative_NRC;1.0
abandon;Sadness_NRC;1.0
abandon;pleasantness_SENTICNET;1.0
abandon;attention_SENTICNET;1.0
abandon;sensitivity_SENTICNET;1.0
abandon;aptitude_SENTICNET;1.0
abandon;polarity_SENTICNET;1.0
abandon;Affect_LIWC;1.0
abandon;Negemo_LIWC;1.0
abandon;Sad_LIWC;1.0
abandon;CogMech_LIWC;1.0
abandon;Inhib_LIWC;1.0
abandon;Achiev_LIWC;1.0
abandoned;Anger_NRC;1.0
abandoned;Fear_NRC;1.0
abandoned;Negative_NRC;1.0
abandoned;Sadness_NRC;1.0
abandoned;Affect_LIWC;1.0
abandoned;Negemo_LIWC;1.0
abandoned;Sad_LIWC;1.0
abandoned;CogMech_LIWC;1.0
abandoned;Inhib_LIWC;1.0
abandonedly;Affect_LIWC;1.0
abandonedly;Negemo_LIWC;1.0
abandonedly;Sad_LIWC;1.0
abandonedly;CogMech_LIWC;1.0
abandonedly;Inhib_LIWC;1.0
abandoning;Affect_LIWC;1.0
abandoning;Negemo_LIWC;1.0
abandoning;Sad_LIWC;1.0
abandoning;CogMech_LIWC;1.0
abandoning;Inhib_LIWC;1.0
abandonment;Negativ_GI;1.0
abandonment;Weak_GI;1.0
abandonment;Fail_GI;1.0
abandonment;Anger_NRC;1.0
abandonment;Fear_NRC;1.0
abandonment;Negative_NRC;1.0
abandonment;Sadness_NRC;1.0
abandonment;Surprise_NRC;1.0
abandonment;pleasantness_SENTICNET;1.0
abandonment;attention_SENTICNET;1.0
abandonment;sensitivity_SENTICNET;1.0
abandonment;aptitude_SENTICNET;1.0
abandonment;polarity_SENTICNET;1.0
abandonment;Affect_LIWC;1.0
abandonment;Negemo_LIWC;1.0
abandonment;Sad_LIWC;1.0
abandonment;CogMech_LIWC;1.0
abandonment;Inhib_LIWC;1.0
abandonments;Affect_LIWC;1.0
abandonments;Negemo_LIWC;1.0
abandonments;Sad_LIWC;1.0
abandonments;CogMech_LIWC;1.0
abandonments;Inhib_LIWC;1.0
abandons;Affect_LIWC;1.0
abandons;Negemo_LIWC;1.0
abandons;Sad_LIWC;1.0
abandons;CogMech_LIWC;1.0
abandons;Inhib_LIWC;1.0
abandons;Achiev_LIWC;1.0
abase;pleasantness_SENTICNET;1.0
abase;attention_SENTICNET;1.0
abase;sensitivity_SENTICNET;1.0
abase;aptitude_SENTICNET;1.0
abase;polarity_SENTICNET;1.0
abash;Shame_GALC;1.0
abash;pleasantness_SENTICNET;1.0
abash;attention_SENTICNET;1.0
abash;sensitivity_SENTICNET;1.0
abash;aptitude_SENTICNET;1.0
abash;polarity_SENTICNET;1.0
abashed;Shame_GALC;1.0
abashed;pleasantness_SENTICNET;1.0
abashed;attention_SENTICNET;1.0
abashed;sensitivity_SENTICNET;1.0
abashed;aptitude_SENTICNET;1.0
abashed;polarity_SENTICNET;1.0
abashedly;Shame_GALC;1.0
abashes;Shame_GALC;1.0
abashing;Shame_GALC;1.0
abashment;Shame_GALC;1.0
abashment;pleasantness_SENTICNET;1.0
abashment;attention_SENTICNET;1.0
abashment;sensitivity_SENTICNET;1.0
abashment;aptitude_SENTICNET;1.0
abashment;polarity_SENTICNET;1.0
abashments;Shame_GALC;1.0
abate;Negativ_GI;1.0
abate;Passive_GI;1.0
abate;Decreas_GI;1.0
abate;Iav_GI;1.0
abate;Tranlw_Lasswell;1.0
abbot;Trust_NRC;1.0
abdicate;Negativ_GI;1.0
abdicate;Weak_GI;1.0
abdicate;Submit_GI;1.0
abdicate;Passive_GI;1.0
abdicate;Finish_GI;1.0
abdicate;Iav_GI;1.0
abdomen;Bio_LIWC;1.0
abdomen;Body_LIWC;1.0
abdomens;Bio_LIWC;1.0
abdomens;Body_LIWC;1.0
abduction;Fear_NRC;1.0
abduction;Negative_NRC;1.0
abduction;Sadness_NRC;1.0
abduction;Surprise_NRC;1.0
abduction;pleasantness_SENTICNET;1.0
abduction;attention_SENTICNET;1.0
abduction;sensitivity_SENTICNET;1.0
abduction;aptitude_SENTICNET;1.0
abduction;polarity_SENTICNET;1.0
abduction;Valence_ANEW;-2.24
abduction;Arousal_ANEW;0.53
abduction;Dominance_ANEW;-1.51
aberrant;Negative_NRC;1.0
aberration;Disgust_NRC;1.0
aberration;Negative_NRC;1.0
abhor;Disgust_GALC;1.0
abhor;Negativ_GI;1.0
abhor;Hostile_GI;1.0
abhor;Passive_GI;1.0
abhor;Arousal_GI;1.0
abhor;Sv_GI;1.0
abhor;Anger_NRC;1.0
abhor;Disgust_NRC;1.0
